video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=B_RBPAhx06w&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@toxicslink,Toxics Link,The Story of Microplastic,17K,2 years,"Microplastics are everywhere- in the air we breathe, the water we drink, the soil we grow vegetables. Oceans are full of these ...",2024-01-30 02:08:44.617923
/watch?v=c1buXEZlAS4&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@WION,WION,Microplastics in breast milk raise concerns over infant's health | International News | WION,41K,1 year,"In a shocking discovery, microplastics have been detected in breast milk for the first time. The presence of microplastics in breast ...",2024-01-30 02:08:44.620440
/watch?v=5Dd9hKfE6g4&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@LIMC,Lessons in Meme Culture,Why Is Everyone Eating Microplastics?,433K,1 year,I f*cking love microplastics Please comment if you know more about this meme's origins. Become a member to get access to ...,2024-01-30 02:08:44.622865
/watch?v=0rGT8SrKnY4&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@NutritionFactsOrg,NutritionFacts.org,Are Microplastics in Seafood a Cancer Risk?,23K,4 years,Plastic particles may exacerbate the pollutant contamination of fish. New subscribers to our e-newsletter always receive a free gift.,2024-01-30 02:08:44.628666
/watch?v=jjsrmFUmyh4&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@TEDx,TEDx Talks,Microplastics are everywhere | Sarah Dudas | TEDxBinghamtonUniversity,89K,5 years,"We live in a world of plastic. From the clothes we wear, the electronics we use to the food we buy, our lives our surrounded by, and ...",2024-01-30 02:08:44.632095
/watch?v=tG4AYagBz9Q&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@BehindtheNewsABC,Behind the News,What Are Microplastics And How Are They Harming Our Oceans? Plastic Pollution - Behind the News,54K,7 years,Tuesday the 22nd of March is World Water Day. So we're going to take a closer look at a threat to our oceans that you might not ...,2024-01-30 02:08:44.647023
/watch?v=KpyjNGv7pXY&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@thermofisher,Thermo Fisher Scientific,The inner plastic ocean: Monitoring microplastics in blood with the Attune CytPix,186,8 months,"Welcome to the 2023 Attune NxT User Meeting, where we bring you insights on the latest advances in flow cytometry technology ...",2024-01-30 02:08:44.649319
/watch?v=pai2OsNuqrs&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@ArirangCoKrArirangNEWS,Arirang News,S. Korean research discovers microplastics spread to all organs,805,2 years,"미세플라스틱, 빠른 시간에 체내 모든 기관에 퍼져 Microplastic debris in the world's oceans not only impacts marine life, but also ...",2024-01-30 02:08:44.659054
/shorts/TZH0Nw3Er5c,/@doctorjanine,"Dr. Janine Bowring, ND",6 Tips How To Detox Microplastics #shorts,4.5K,2 years,6 Tips How To Detox Microplastics #shorts #detox.,2024-01-30 02:08:44.678053
/watch?v=49OJoTsZYO0&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@explainitychannel,explainitychannel,Microplastics explained (explainity® explainer video),66K,4 years,Billions of tons of microplastics are floating in the oceans and spread across the land. You want to know where the small plastic ...,2024-01-30 02:08:44.681143
/shorts/HlZvfG6SXF0,/@doctorjanine,"Dr. Janine Bowring, ND",3 Reasons Microplastics are Harmful #shorts,7.9K,1 year,3 Reasons Microplastics are Harmful #shorts Dr. Janine shares three reasons microplastics are harmful. She talks about how ...,2024-01-30 02:08:44.692073
/shorts/GZmzFhjJAh8,/@attn,ATTN:,3 ways to avoid microplastics.,26K,1 year,shorts.,2024-01-30 02:08:44.700301
/shorts/YzsN9qoXQUs,/@AnkurShah,Ankur Shah,Microplastics are in Human Blood! #shorts,1.4K,1 year,Microplastics have now been found in human blood! Microplastics in our blood may transfer to organs and affect our health in ...,2024-01-30 02:08:44.709843
/watch?v=-m0YaE8uKcg&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@TEDEd,TED-Ed,The smallest solution to one of our biggest problems - Tierney Thys & Christian Sardet,414K,1 year,Explore the possibility of plastivores— organisms that can eat and break down plastic— helping reduce the plastic waste on Earth.,2024-01-30 02:08:44.712315
/watch?v=Eu9UoPttUfI&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@ScopeofScience,Kurtis Baute,You Eat Plastic Every Day. Here's How To Avoid It.,262K,4 years,"Microplastics are everywhere, including in your body. I spent 24 hours doing everything I could to avoid ingesting them.",2024-01-30 02:08:44.724031
/shorts/jLUR-wx65t8,/@doctorjanine,"Dr. Janine Bowring, ND",Microplastics in Tea Bags 🔥 #shorts,84K,1 year,Microplastics in Tea Bags #shorts Dr. Janine shares a great hack for avoiding microplastics from tea bags. She explains how tea ...,2024-01-30 02:08:44.729891
/watch?v=NgjMd-VNEac&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@neoscribe2295,NeoScribe,Disturbing Discovery Of Microplastics Inside Our Bodies,54K,5 years,"Hello, welcome to NeoScribe. There are many benefits to plastic. It's light, moldable, strong, and inexpensive. And it's the perfect ...",2024-01-30 02:08:44.739667
/watch?v=hWZR_a6Pq1M&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@anatomyandphysiologyvideo,New Anatomy and Physiology Video,Have Microplastics Entered the Human Body,863,1 year,"Microplastics have been found in various human body tissues and fluids, including in the blood, urine, and feces. Studies have ...",2024-01-30 02:08:55.532834
/watch?v=SgHUIqi5Bik&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@TRTWorldNow,TRT World Now,How do microplastics get into the air?,508,2 years,Janice Brahney from Utah State University discusses a warning from scientists that microplastics have become so pervasive that ...,2024-01-30 02:08:55.535577
